n,depth,angles,P,w,reference_variance,no_mask_variance,full_mask_variance,reference_vs_full,reference_vs_no_mask,no_mask_over_reference,full_over_reference
3,1,zero,6,2,16.0,24.000000000000018,24.0,lower,lower,1.500000000000001,1.5
3,1,seeded,6,2,18.164740908930717,25.88945527853655,24.000000000000004,lower,lower,1.4252587145797364,1.3212409755979715
3,2,zero,12,3,40.0,48.0,48.0,lower,lower,1.2,1.2
3,2,seeded,12,3,47.50046820554613,56.60908478683224,48.00000000000001,lower,lower,1.1917584589244659,1.0105163551713277
3,3,zero,18,3,64.0,72.0,72.0,lower,lower,1.125,1.125
3,3,seeded,18,3,71.54707908035476,83.65406144574078,71.99999999999999,lower,lower,1.1692170039784382,1.006330390079748
4,1,zero,12,2,40.0,48.0,48.0,lower,lower,1.2,1.2
4,1,seeded,12,2,41.725159385886215,50.05565747846662,48.0,lower,lower,1.1996516781526843,1.150385060392035
4,2,zero,18,4,64.0,72.0,72.0,lower,lower,1.125,1.125
4,2,seeded,18,4,72.00000000000001,92.58999827428332,72.0,equal_within_tolerance,lower,1.2859721982539347,0.9999999999999998
4,3,zero,30,4,112.0,120.0,120.0,lower,lower,1.0714285714285714,1.0714285714285714
4,3,seeded,30,4,119.99999999999997,151.28302100843896,119.99999999999999,equal_within_tolerance,lower,1.2606918417369917,1.0000000000000002
5,1,zero,12,2,40.0,48.00000000000003,48.0,lower,lower,1.2000000000000006,1.2
5,1,seeded,12,2,41.44244515035564,50.0410486664533,48.0,lower,lower,1.2074830161420598,1.1582328172445706
5,2,zero,24,4,88.0,96.00000000000007,96.0,lower,lower,1.0909090909090917,1.0909090909090908
5,2,seeded,24,4,96.00000000000003,114.87478076959121,96.00000000000001,equal_within_tolerance,lower,1.1966122996832413,0.9999999999999999
5,3,zero,36,5,136.0,144.0000000000001,144.0,lower,lower,1.0588235294117656,1.0588235294117647
5,3,seeded,36,5,144.00000000000009,164.21396169359184,144.0,equal_within_tolerance,lower,1.140374733983276,0.9999999999999994
6,1,zero,18,2,64.0,72.0,72.0,lower,lower,1.125,1.125
6,1,seeded,18,2,66.71989092174431,77.67870118317543,71.99999999999999,lower,lower,1.1642510218472135,1.0791384548941891
6,2,zero,30,4,112.0,120.0,120.0,lower,lower,1.0714285714285714,1.0714285714285714
6,2,seeded,30,4,120.00000000000003,142.7965844616268,120.0,equal_within_tolerance,lower,1.189971537180223,0.9999999999999998
6,3,zero,48,6,184.0,192.0,192.0,lower,lower,1.0434782608695652,1.0434782608695652
6,3,seeded,48,6,192.00000000000023,281.17227932231174,192.00000000000006,equal_within_tolerance,lower,1.4644389548037053,0.9999999999999991
8,1,zero,24,2,88.0,96.0,96.0,lower,lower,1.0909090909090908,1.0909090909090908
8,1,seeded,24,2,91.86790801959845,107.59707487327452,96.0,lower,lower,1.1712150324607427,1.0449786227800033
8,2,zero,42,4,160.0,168.0,168.0,lower,lower,1.05,1.05
8,2,seeded,42,4,168.00000000000006,220.21047389327913,168.0,equal_within_tolerance,lower,1.3107766303171373,0.9999999999999997
8,3,zero,66,6,256.0,264.0,264.0,lower,lower,1.03125,1.03125
8,3,seeded,66,6,264.0000000000002,300.05206908401703,264.00000000000006,equal_within_tolerance,lower,1.1365608677424879,0.9999999999999993
